,Changi Airport: No. of Flight ,Changi Airport: Passenger Movements,Changi Airport: Air Freight Movements
Region,Singapore,Singapore,Singapore
Subnational,,,
Frequency,Monthly,Monthly,Monthly
Unit,Unit,Person,Ton
Source,Changi Airport Group,Changi Airport Group,Changi Airport Group
Status,Active,Active,Active
Series ID,36670301 (STBFB),241774802 (STBFBC),241774902 (STBFBD)
SR Code,SR88608507,SR88608517,SR88608527
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,01/1980,01/1980,01/1986
Last Obs. Date,02/2026,02/2026,02/2026
Last Update Time,20/03/2026,20/03/2026,20/03/2026
Series Remarks,[COVID-19-IMPACT],[COVID-19-IMPACT],[COVID-19-IMPACT]
Suggestions,,,
01/2010,21502,3384473,141059
02/2010,19617,3108244,130577
03/2010,21604,3448617,157211
04/2010,21303,3283071,146849
05/2010,22151,3389972,153098
06/2010,21833,3621082,149827
07/2010,22593,3673387,158200
08/2010,22368,3467630,154513
09/2010,21923,3393497,151055
10/2010,22488,3581850,162408
11/2010,22372,3623080,153180
12/2010,23839,4063874,155832
01/2011,24000,3787070,147223
02/2011,22013,3390264,128048
03/2011,24403,3708592,166148
04/2011,24266,3731875,155811
05/2011,24994,3773137,157286
06/2011,25059,4011823,153208
07/2011,25908,4172971,160120
08/2011,25708,3855722,153120
09/2011,25513,3817720,154359
10/2011,26270,3878788,163114
11/2011,25923,3890535,160206
12/2011,27654,4525348,166607
01/2012,27584,4244834,136843
02/2012,24903,3770270,143903
03/2012,26981,4277559,163170
04/2012,26410,4206420,148244
05/2012,26990,4089894,152884
06/2012,26662,4402693,153330
07/2012,27093,4360693,157171
08/2012,27381,4276912,150753
09/2012,26526,4002344,155834
10/2012,27641,4268532,153624
11/2012,27593,4365456,156346
12/2012,28958,4916197,157018
01/2013,28203,4325530,144774
02/2013,25939,4117962,130244
03/2013,28423,4608339,171922
04/2013,27544,4240461,150136
05/2013,28451,4281153,152192
06/2013,28283,4669334,155107
07/2013,28955,4536572,158874
08/2013,29613,4678005,149873
09/2013,28441,4279588,151814
10/2013,29485,4405289,156337
11/2013,29505,4464415,160007
12/2013,30923,5119439,156424
01/2014,30353,4596764,150308
02/2014,26764,4109038,126759
03/2014,29141,4493991,169750
04/2014,28358,4383872,151069
05/2014,28933,4368639,157500
06/2014,28130,4654569,154729
07/2014,28205,4581591,155018
08/2014,28356,4649022,156029
09/2014,27024,4256229,147780
10/2014,28380,4490180,159695
11/2014,28031,4415710,156536
12/2014,29711,5093465,158628
01/2015,28779,4420122,151814
02/2015,26491,4121357,135966
03/2015,28793,4535119,162659
04/2015,28256,4391381,153447
05/2015,29042,4480261,157047
06/2015,28531,4699589,151304
07/2015,29412,4893574,147527
08/2015,29606,4955301,151647
09/2015,28464,4421554,155058
10/2015,29610,4600789,162496
11/2015,28729,4636752,160482
12/2015,30621,5293165,163639
01/2016,30145,4860156,157859
02/2016,28518,4602026,136096
03/2016,30125,4902767,171183
04/2016,29460,4793662,164531
05/2016,30221,4781918,157513
06/2016,29345,4838307,163071
07/2016,30793,5181108,161446
08/2016,30257,4923309,163146
09/2016,29330,4584383,167102
10/2016,30614,4768937,176958
11/2016,29708,4784818,173174
12/2016,31974,5676648,177355
01/2017,31596,5256301,158691
02/2017,28032,4669729,146865
03/2017,30916,5112576,188626
04/2017,30569,5168548,171716
05/2017,31197,5003578,177336
06/2017,30915,5208779,172040
07/2017,31908,5415734,179551
08/2017,31747,5265703,180594
09/2017,30492,4927561,183559
10/2017,31733,5155327,185829
11/2017,31140,5173747,191676
12/2017,32956,5861990,188742
01/2018,32486,5303639,175594
02/2018,29701,4932345,148934
03/2018,32585,5555117,187547
04/2018,31990,5430745,179411
05/2018,32332,5294980,180488
06/2018,31874,5565775,170551
07/2018,32706,5723094,183337
08/2018,32888,5682688,183756
09/2018,31395,5225903,184707
10/2018,32759,5376234,189786
11/2018,31909,5408993,189150
12/2018,33417,6127843,181618
01/2019,32729,5656076,171304
02/2019,29894,5131807,136504
03/2019,32371,5630780,184764
04/2019,31454,5580503,156480
05/2019,31671,5407308,171756
06/2019,31391,5816089,161880
07/2019,32389,5910782,170226
08/2019,32364,5900629,169031
09/2019,31179,5469342,170233
10/2019,31958,5646643,169689
11/2019,31598,5718386,177532
12/2019,33344,6414495,174698
01/2020,33435,5950940,156865
02/2020,26231,3446022,146828
03/2020,16223,1649662,149444
04/2020,3865,25189,95837
05/2020,4472,24504,103122
06/2020,4779,48241,111665
07/2020,5247,85981,118912
08/2020,5562,84296,120115
09/2020,5623,90241,124524
10/2020,5890,98290,129083
11/2020,6572,110737,140029
12/2020,7525,151860,147676
01/2021,7495,144931,145957
02/2021,6707,117513,123914
03/2021,8103,165638,157388
04/2021,8166,173061,155141
05/2021,8702,171277,159727
06/2021,8821,178361,160959
07/2021,9400,203701,163550
08/2021,9294,211408,165475
09/2021,9427,219506,171302
10/2021,10185,255148,182035
11/2021,10441,395289,177416
12/2021,12151,817092,183824
01/2022,12175,719926,169465
02/2022,10852,702917,136795
03/2022,13172,1141411,151989
04/2022,15055,1932520,152296
05/2022,17109,2465500,153449
06/2022,18380,2927392,163289
07/2022,20275,3300213,163274
08/2022,20433,3319381,152653
09/2022,20430,3421600,154133
10/2022,21784,3687774,152298
11/2022,23651,3963295,150754
12/2022,25352,4620193,152563
01/2023,25176,4366912,133497
02/2023,22856,4002734,130936
03/2023,26088,4633939,152482
04/2023,26301,4603335,140893
05/2023,27571,4838555,142117
06/2023,27522,5119252,135470
07/2023,28870,5274889,148810
08/2023,28922,5147997,148770
09/2023,27839,4873855,153785
10/2023,28708,5122657,152676
11/2023,28003,5147331,150215
12/2023,30436,5814627,150575
01/2024,30127,5429031,156142
02/2024,28822,5352680,143077
03/2024,30409,5726451,176068
04/2024,29098,5402910,158108
05/2024,30123,5482723,170471
06/2024,30059,5621575,157297
07/2024,30964,5704270,173896
08/2024,31180,5729606,166479
09/2024,29930,5399080,172045
10/2024,31329,5650043,177714
11/2024,30787,5741007,172793
12/2024,33155,6410825,170761
01/2025,33104,6155064,159763
02/2025,29238,5441857,143108
03/2025,31624,5616764,177400
04/2025,31031,5775769,167499
05/2025,31672,5821062,176032
06/2025,30927,5882419,172680
07/2025,31281,5967038,179513
08/2025,30764,5908173,177333
09/2025,29549,5474641,174298
10/2025,31213,5844392,182196
11/2025,30648,5752980,189564
12/2025,32910,6341578,184434
01/2026,32726,5969150,170966
02/2026,30200,5540000,158000
