,SGX: Turnover: Shares: Total,Foreign Exchange Market: SGD: Total Turnover
Region,Singapore,Singapore
Subnational,,
Frequency,"Daily, ""5 observation""",Monthly
Unit,Share mn,SGD mn
Source,The Business Times,Monetary Authority of Singapore
Status,Active,Active
Series ID,35960701 (SDIGA),471805317 (SZOADDABEAAANS)
SR Code,SR763792,SR154104557
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,08/31/1998,07/01/2021
Last Obs. Date,03/30/2026,02/01/2026
Last Update Time,31/03/2026,31/03/2026
Series Remarks,,
Suggestions,,
12/16/2002,250.249,
12/17/2002,317.881,
12/18/2002,361.99,
12/19/2002,410.773,
12/20/2002,319.671,
12/23/2002,264.611,
12/24/2002,103.256,
12/26/2002,149.704,
12/27/2002,164.58,
12/30/2002,167.983,
12/31/2002,102.05,
01/02/2003,210.844,
01/03/2003,426.558,
01/06/2003,273.02,
01/07/2003,262.151,
01/08/2003,307.936,
01/09/2003,405.439,
01/10/2003,1729.342,
01/13/2003,627.411,
01/14/2003,699.008,
01/15/2003,519.958,
01/16/2003,362.177,
01/17/2003,337.245,
01/20/2003,276.546,
01/21/2003,320.817,
01/22/2003,361.377,
01/23/2003,419.594,
01/24/2003,339.603,
01/27/2003,276.467,
01/28/2003,241.229,
01/29/2003,266.663,
01/30/2003,413.806,
02/04/2003,221.065,
02/05/2003,250.227,
02/06/2003,289.256,
02/07/2003,221.779,
02/10/2003,208.356,
02/11/2003,254.483,
02/13/2003,211.882,
02/14/2003,199.571,
02/17/2003,264.33,
02/18/2003,300.41,
02/19/2003,218.834,
02/20/2003,286.853,
02/21/2003,292.025,
02/24/2003,254.162,
02/25/2003,228.43,
02/26/2003,186,
02/27/2003,239.781,
02/28/2003,257.156,
03/03/2003,243.46,
03/04/2003,270.805,
03/05/2003,181.135,
03/06/2003,271.305,
03/07/2003,229.022,
03/10/2003,194.784,
03/11/2003,250.69,
03/12/2003,284.202,
03/13/2003,206.692,
03/14/2003,397.408,
03/17/2003,239.198,
03/18/2003,378.659,
03/19/2003,375.031,
03/20/2003,454.273,
03/21/2003,321.284,
03/24/2003,400.837,
03/25/2003,266.115,
03/26/2003,457.412,
03/27/2003,321.097,
03/28/2003,238.637,
03/31/2003,296.011,
04/01/2003,306.464,
04/02/2003,276.214,
04/03/2003,289.691,
04/04/2003,293.039,
04/07/2003,478.302,
04/08/2003,341.255,
04/09/2003,268.736,
04/10/2003,285.106,
04/11/2003,277.442,
04/14/2003,268.76,
04/15/2003,238.889,
04/16/2003,297.325,
04/17/2003,275.043,
04/21/2003,184.486,
04/22/2003,264.735,
04/23/2003,283.078,
04/24/2003,382.252,
04/25/2003,450.211,
04/28/2003,341.979,
04/29/2003,600.993,
04/30/2003,479.985,
05/02/2003,755.874,
05/05/2003,1218.77,
05/06/2003,1023.925,
05/07/2003,607.118,
05/08/2003,1145.516,
05/09/2003,1149.759,
05/12/2003,1376.337,
05/13/2003,1079.355,
05/14/2003,541.362,
05/16/2003,542.264,
05/19/2003,555.419,
05/20/2003,664.836,
05/21/2003,621.014,
05/22/2003,650.659,
05/23/2003,874.284,
05/26/2003,953.422,
05/27/2003,699.398,
05/28/2003,1000.262,
05/29/2003,866.012,
05/30/2003,1323.962,
06/02/2003,1614.547,
06/03/2003,1229.341,
06/04/2003,885.454,
06/05/2003,1557.626,
06/06/2003,1009.044,
06/09/2003,1101.562,
06/10/2003,1156.012,
06/11/2003,1546.266,
06/12/2003,1026.821,
06/13/2003,918.404,
06/16/2003,687.873,
06/17/2003,723.782,
06/18/2003,987.261,
06/19/2003,719.275,
06/20/2003,906.324,
06/23/2003,1125.148,
06/24/2003,621.115,
06/25/2003,1211.308,
06/26/2003,1360.731,
06/27/2003,1405.854,
06/30/2003,701.869,
07/01/2003,614.434,
07/02/2003,852.857,
07/03/2003,1198.271,
07/04/2003,853.951,
07/07/2003,1288.307,
07/08/2003,1439.592,
07/09/2003,1880.055,
07/10/2003,1070.933,
07/11/2003,1582.766,
07/14/2003,2384.207,
07/15/2003,1495.971,
07/16/2003,1836.049,
07/17/2003,1308.448,
07/18/2003,861.317,
07/21/2003,960.03,
07/22/2003,965.262,
07/23/2003,1113.807,
07/24/2003,1194.065,
07/25/2003,930.392,
07/28/2003,966.523,
07/29/2003,811.094,
07/30/2003,848.273,
07/31/2003,837.595,
08/01/2003,899.852,
08/04/2003,790.865,
08/05/2003,912.712,
08/06/2003,979.002,
08/07/2003,919.649,
08/08/2003,850.637,
08/11/2003,782.909,
08/12/2003,1154.175,
08/13/2003,1495.749,
08/14/2003,1718.142,
08/15/2003,1299.08,
08/18/2003,1620.093,
08/19/2003,1511.389,
08/20/2003,891.203,
08/21/2003,1286.476,
08/22/2003,1238.164,
08/25/2003,922.927,
08/26/2003,925.343,
08/27/2003,722.981,
08/28/2003,995.52,
08/29/2003,1066.18,
09/01/2003,941.083,
09/02/2003,818.556,
09/03/2003,1048.995,
09/04/2003,1251.291,
09/05/2003,1443.939,
09/08/2003,1215.322,
09/09/2003,1571.9,
09/10/2003,1129.887,
09/11/2003,1052.995,
09/12/2003,1608.963,
09/15/2003,1420.51,
09/16/2003,1243.241,
09/17/2003,2279.892,
09/18/2003,1929.757,
09/19/2003,2183.054,
09/22/2003,1325.724,
09/23/2003,1208.982,
09/24/2003,1590.286,
09/25/2003,1588.213,
09/26/2003,1411.421,
09/29/2003,1074.594,
09/30/2003,1297.515,
10/01/2003,1327.091,
10/02/2003,1327.467,
10/03/2003,1239.358,
10/06/2003,1625.612,
10/07/2003,1346.391,
10/08/2003,1580.08,
10/09/2003,1918.9,
10/10/2003,1715.939,
10/13/2003,1689.419,
10/14/2003,2120.408,
10/15/2003,2345.63,
10/16/2003,2348.185,
10/17/2003,2225.864,
10/20/2003,2002.772,
10/21/2003,2038.043,
10/22/2003,2185.988,
10/23/2003,1707.152,
10/27/2003,1272.448,
10/28/2003,1289.215,
10/29/2003,1755.412,
10/30/2003,1666.74,
10/31/2003,1025.11,
11/03/2003,906.039,
11/04/2003,1113.927,
11/05/2003,1012.511,
11/06/2003,946.766,
11/07/2003,601.897,
11/10/2003,687.72,
11/11/2003,999.815,
11/12/2003,1158.893,
11/13/2003,932.458,
11/14/2003,672.044,
11/17/2003,685.297,
11/18/2003,744.183,
11/19/2003,723.776,
11/20/2003,601.69,
11/21/2003,724.813,
11/24/2003,360.37,
11/26/2003,655.675,
11/27/2003,684.986,
11/28/2003,1029.453,
12/01/2003,877.644,
12/02/2003,684.553,
12/03/2003,513.698,
12/04/2003,434.334,
12/05/2003,423.068,
12/08/2003,338.848,
12/09/2003,405.939,
12/10/2003,362.422,
12/11/2003,553.831,
12/12/2003,627.447,
12/15/2003,736.139,
12/16/2003,388.247,
12/17/2003,1007.709,
12/18/2003,628.614,
12/19/2003,517.048,
12/22/2003,380.18,
12/23/2003,321.713,
12/24/2003,149.955,
12/26/2003,410.33,
12/29/2003,621.97,
12/30/2003,889.389,
12/31/2003,507.937,
01/02/2004,1278.601,
01/05/2004,1505.315,
01/06/2004,1593.678,
01/07/2004,1880.126,
01/08/2004,1478.464,
01/09/2004,1702.326,
01/12/2004,942.833,
01/13/2004,1181.376,
01/14/2004,1513.228,
01/15/2004,1298.251,
01/16/2004,918.915,
01/19/2004,812.664,
01/20/2004,869.667,
01/21/2004,746.835,
01/26/2004,1176.044,
01/27/2004,1260.579,
01/28/2004,1085.401,
01/29/2004,967.904,
01/30/2004,1156.55,
02/03/2004,970.208,
02/04/2004,977.009,
02/05/2004,913.244,
02/06/2004,1331.645,
02/09/2004,1263.734,
02/10/2004,1604.131,
02/11/2004,1097.819,
02/12/2004,1160.274,
02/13/2004,827.53,
02/16/2004,924.811,
02/17/2004,1050.255,
02/18/2004,1217.808,
02/19/2004,1105.277,
02/20/2004,1447.499,
02/23/2004,1167.426,
02/24/2004,1059.625,
02/25/2004,1143.728,
02/26/2004,972.166,
02/27/2004,1013.946,
03/01/2004,843.642,
03/02/2004,1213.074,
03/03/2004,862.096,
03/04/2004,827.255,
03/05/2004,699.951,
03/08/2004,599.853,
03/09/2004,730.194,
03/10/2004,670.948,
03/11/2004,802.256,
03/12/2004,639.292,
03/15/2004,549.068,
03/16/2004,551.267,
03/17/2004,864.95,
03/18/2004,836.87,
03/19/2004,725.587,
03/22/2004,583.566,
03/23/2004,660.687,
03/24/2004,732.214,
03/25/2004,600.844,
03/26/2004,532.086,
03/29/2004,431.546,
03/30/2004,737.264,
03/31/2004,498.493,
04/01/2004,735.805,
04/02/2004,907.022,
04/05/2004,1026.005,
04/06/2004,834.694,
04/07/2004,697.516,
04/08/2004,854.428,
04/12/2004,724.826,
04/13/2004,895.364,
04/14/2004,913.84,
04/15/2004,962.542,
04/16/2004,734.434,
04/19/2004,647.613,
04/20/2004,832.036,
04/21/2004,833.653,
04/22/2004,735.393,
04/23/2004,652.513,
04/26/2004,621.741,
04/27/2004,491.913,
04/28/2004,533.539,
04/29/2004,867.973,
04/30/2004,796.173,
05/03/2004,471.987,
05/04/2004,563.862,
05/05/2004,702.761,
05/06/2004,645.799,
05/07/2004,574.988,
05/10/2004,733.364,
05/11/2004,723.545,
05/12/2004,682.104,
05/13/2004,755.723,
05/14/2004,783.599,
05/17/2004,802.881,
05/18/2004,603.034,
05/19/2004,869.279,
05/20/2004,513.399,
05/21/2004,616.268,
05/24/2004,745.771,
05/25/2004,565.915,
05/26/2004,573.308,
05/27/2004,406.981,
05/28/2004,523.851,
05/31/2004,280.413,
06/01/2004,285.464,
06/03/2004,446.425,
06/04/2004,288.934,
06/07/2004,437.741,
06/08/2004,344.09,
06/09/2004,421.386,
06/10/2004,442.939,
06/11/2004,459.982,
06/14/2004,408.822,
06/15/2004,453.138,
06/16/2004,501.618,
06/17/2004,469.068,
06/18/2004,483.765,
06/21/2004,334.746,
06/22/2004,384.932,
06/23/2004,399.621,
06/24/2004,477.848,
06/25/2004,403.85,
06/28/2004,699.454,
06/29/2004,699.609,
06/30/2004,679.083,
07/01/2004,583.098,
07/02/2004,531.835,
07/05/2004,615.781,
07/06/2004,980.367,
07/07/2004,721.704,
07/08/2004,741.369,
07/09/2004,594.834,
07/12/2004,527.988,
07/13/2004,464.515,
07/14/2004,659.244,
07/15/2004,561.166,
07/16/2004,488.701,
07/19/2004,534.251,
07/20/2004,647.42,
07/21/2004,532.989,
07/22/2004,493.482,
07/23/2004,550.592,
07/26/2004,461.387,
07/27/2004,477.862,
07/28/2004,550.974,
07/29/2004,483.788,
07/30/2004,572.616,
08/02/2004,381.524,
08/03/2004,666.188,
08/04/2004,726.104,
08/05/2004,747.597,
08/06/2004,642.519,
08/10/2004,470.375,
08/11/2004,522.388,
08/12/2004,489.573,
08/13/2004,479.207,
08/16/2004,483.961,
08/17/2004,378.348,
08/18/2004,463.685,
08/19/2004,649.588,
08/20/2004,515.559,
08/23/2004,414.083,
08/24/2004,663.249,
08/25/2004,828.66,
08/26/2004,616.505,
08/27/2004,420.736,
08/30/2004,430.279,
08/31/2004,347.959,
09/01/2004,564.332,
09/02/2004,445.544,
09/03/2004,391.098,
09/06/2004,303.267,
09/07/2004,462.438,
09/08/2004,688.055,
09/09/2004,555.22,
09/10/2004,521.244,
09/13/2004,779.916,
09/14/2004,545.428,
09/15/2004,664.338,
09/16/2004,594.473,
09/17/2004,692.777,
09/20/2004,543.395,
09/21/2004,439.396,
09/22/2004,546.033,
09/23/2004,634.016,
09/24/2004,698.923,
09/27/2004,567.75,
09/28/2004,796.648,
09/29/2004,690.756,
09/30/2004,700.731,
10/01/2004,693.989,
10/04/2004,781.849,
10/05/2004,685.896,
10/06/2004,874.522,
10/07/2004,770.973,
10/08/2004,645.065,
10/11/2004,644.742,
10/12/2004,766.715,
10/13/2004,759.414,
10/14/2004,567.729,
10/15/2004,537.937,
10/18/2004,544.676,
10/19/2004,589.014,
10/20/2004,668.966,
10/21/2004,763.112,
10/22/2004,990.162,
10/25/2004,427.753,
10/26/2004,624.647,
10/27/2004,529.739,
10/28/2004,752.982,
10/29/2004,643.266,
11/01/2004,534.681,
11/02/2004,535.559,
11/03/2004,716.799,
11/04/2004,622.22,
11/05/2004,951.708,
11/08/2004,668.831,
11/09/2004,654.131,
11/10/2004,628.153,
11/12/2004,528.384,
11/16/2004,664.632,
11/17/2004,562.319,
11/18/2004,641.374,
11/19/2004,488.061,
11/22/2004,508.295,
11/23/2004,847.47,
11/24/2004,714.046,
11/25/2004,829.988,
11/26/2004,546.51,
11/29/2004,405.629,
11/30/2004,630.857,
12/01/2004,675.729,
12/02/2004,572.192,
12/03/2004,500.329,
12/06/2004,494.038,
12/07/2004,508.884,
12/08/2004,556.173,
12/09/2004,660.508,
12/10/2004,593.369,
12/13/2004,665.749,
12/14/2004,619.921,
12/15/2004,645.423,
12/16/2004,611.333,
12/17/2004,505.253,
12/20/2004,491.7,
12/21/2004,528.975,
12/22/2004,546.305,
12/23/2004,485.559,
12/27/2004,802.175,
12/28/2004,643.743,
12/29/2004,662.318,
12/30/2004,548.237,
01/03/2005,669.172,
01/04/2005,701.946,
01/05/2005,782.354,
01/06/2005,816.073,
01/07/2005,826.634,
01/10/2005,520.242,
01/11/2005,707.017,
01/12/2005,887.042,
01/13/2005,894.122,
01/14/2005,1187.557,
01/17/2005,1370.867,
01/18/2005,1160.812,
01/19/2005,1108.111,
01/20/2005,870.4,
01/24/2005,790.554,
01/25/2005,952.865,
01/26/2005,1017.417,
01/27/2005,941.917,
01/28/2005,985.944,
01/31/2005,904.831,
02/01/2005,977.231,
02/02/2005,902.501,
02/03/2005,731.932,
02/04/2005,832.544,
02/07/2005,537.969,
02/08/2005,357.912,
02/11/2005,775.229,
02/14/2005,953.191,
02/15/2005,833.597,
02/16/2005,1072.759,
02/17/2005,782.571,
02/18/2005,1165.548,
02/21/2005,794.826,
02/22/2005,871.633,
02/23/2005,741.325,
02/24/2005,1023.082,
02/25/2005,954.519,
02/28/2005,902.304,
03/01/2005,891.613,
03/02/2005,736.002,
03/03/2005,684.36,
03/04/2005,869.16,
03/07/2005,784.572,
03/08/2005,827.091,
03/09/2005,796.758,
03/10/2005,634.362,
03/11/2005,672.804,
03/14/2005,594.257,
03/15/2005,608.506,
03/16/2005,695.844,
03/17/2005,669.237,
03/18/2005,767.324,
03/21/2005,578.916,
03/22/2005,638.755,
03/23/2005,889.792,
03/24/2005,519.537,
03/28/2005,377.571,
03/29/2005,549.675,
03/30/2005,565.699,
03/31/2005,643.968,
04/01/2005,557.634,
04/04/2005,499.498,
04/05/2005,528.112,
04/06/2005,562.836,
04/07/2005,678.063,
04/08/2005,853.3,
04/11/2005,550.933,
04/12/2005,523.692,
04/13/2005,562.617,
04/14/2005,559.041,
04/15/2005,672.249,
04/18/2005,871.844,
04/19/2005,696.547,
04/20/2005,768.383,
04/21/2005,604.414,
04/22/2005,657.669,
04/25/2005,526.877,
04/26/2005,560.325,
04/27/2005,664.693,
04/28/2005,529.422,
04/29/2005,466.527,
05/03/2005,454.925,
05/04/2005,524.179,
05/05/2005,620.696,
05/06/2005,744.652,
05/09/2005,734.261,
05/10/2005,637.682,
05/11/2005,594.292,
05/12/2005,897.371,
05/13/2005,726.12,
05/16/2005,395.428,
05/17/2005,555.483,
05/18/2005,566.895,
05/19/2005,711.215,
05/20/2005,633.26,
05/24/2005,664.687,
05/25/2005,539.847,
05/26/2005,596.03,
05/27/2005,799.571,
05/30/2005,705.74,
05/31/2005,767.503,
06/01/2005,542.106,
06/02/2005,742.448,
06/03/2005,659.522,
06/06/2005,718.647,
06/07/2005,870.732,
06/08/2005,874.816,
06/09/2005,752.312,
06/10/2005,976.906,
06/13/2005,827.474,
06/14/2005,750.235,
06/15/2005,780.057,
06/16/2005,632.398,
06/17/2005,621.262,
06/20/2005,542.417,
06/21/2005,479.668,
06/22/2005,679.559,
06/23/2005,692.058,
06/24/2005,557.245,
06/27/2005,491.486,
06/28/2005,571.062,
06/29/2005,592.235,
06/30/2005,551.598,
07/01/2005,415.693,
07/04/2005,548.777,
07/05/2005,676.624,
07/06/2005,826.133,
07/07/2005,732.267,
07/08/2005,641.376,
07/11/2005,727.026,
07/12/2005,927.198,
07/13/2005,1131.833,
07/14/2005,1050.27,
07/15/2005,992.752,
07/18/2005,730.676,
07/19/2005,1237.229,
07/20/2005,1488.637,
07/21/2005,969.477,
07/22/2005,937.069,
07/25/2005,779.202,
07/26/2005,817.591,
07/27/2005,1052.387,
07/28/2005,1230.464,
07/29/2005,922.578,
08/01/2005,917.382,
08/02/2005,1205.151,
08/03/2005,1286.844,
08/04/2005,1363.459,
08/05/2005,1039.09,
08/08/2005,787.797,
08/10/2005,1206.637,
08/11/2005,1144.901,
08/12/2005,834.148,
08/15/2005,820.516,
08/16/2005,793.024,
08/17/2005,937.141,
08/18/2005,1052.509,
08/19/2005,689.926,
08/22/2005,852.602,
08/23/2005,1013.57,
08/24/2005,769.121,
08/25/2005,957.965,
08/26/2005,887.298,
08/29/2005,739.339,
08/30/2005,729.904,
08/31/2005,764.162,
09/01/2005,957.69,
09/02/2005,951.406,
09/05/2005,788.723,
09/06/2005,694.522,
09/07/2005,881.139,
09/08/2005,688.375,
09/09/2005,826.261,
09/12/2005,960.115,
09/13/2005,783.953,
09/14/2005,1046.43,
09/15/2005,1138.034,
09/16/2005,1026.339,
09/19/2005,878.064,
09/20/2005,1421.855,
09/21/2005,1319.553,
09/22/2005,1231.801,
09/23/2005,951.336,
09/26/2005,989.39,
09/27/2005,1040.805,
09/28/2005,980.318,
09/29/2005,1011.956,
09/30/2005,1020.889,
10/03/2005,881.184,
10/04/2005,1354.304,
10/05/2005,1235.369,
10/06/2005,1291.842,
10/07/2005,1178.048,
10/10/2005,1382.317,
10/11/2005,1387.615,
10/12/2005,1265.591,
10/13/2005,1059.142,
10/14/2005,981.048,
10/17/2005,907.306,
10/18/2005,1007.55,
10/19/2005,1382.559,
10/20/2005,907.122,
10/21/2005,1141.526,
10/24/2005,727.008,
10/25/2005,911.521,
10/26/2005,871.512,
10/27/2005,989.679,
10/28/2005,704.254,
10/31/2005,684.005,
11/02/2005,735.567,
11/04/2005,1071.481,
11/07/2005,710.397,
11/08/2005,849.554,
11/09/2005,782.932,
11/10/2005,814.705,
11/11/2005,797.611,
11/14/2005,762.354,
11/15/2005,791.471,
11/16/2005,668.967,
11/17/2005,660.067,
11/18/2005,852.629,
11/21/2005,683.92,
11/22/2005,735.079,
11/23/2005,834.097,
11/24/2005,679.953,
11/25/2005,621.909,
11/28/2005,603.278,
11/29/2005,582.54,
11/30/2005,994.125,
12/01/2005,755.71,
12/02/2005,865.601,
12/05/2005,632.565,
12/06/2005,616.348,
12/07/2005,648.061,
12/08/2005,709.212,
12/09/2005,613.381,
12/12/2005,914.083,
12/13/2005,639.695,
12/14/2005,601.63,
12/15/2005,675.515,
12/16/2005,640.845,
12/19/2005,515.955,
12/20/2005,514.84,
12/21/2005,686.406,
12/22/2005,594.532,
12/23/2005,566.366,
12/27/2005,458.523,
12/28/2005,467.352,
12/29/2005,609.576,
12/30/2005,596.379,
01/03/2006,1050.147,
01/04/2006,1243.528,
01/05/2006,1380.221,
01/06/2006,1296.322,
01/09/2006,1189.149,
01/11/2006,1589.19,
01/12/2006,1295.439,
01/13/2006,1181.349,
01/16/2006,1136.673,
01/17/2006,1196.744,
01/18/2006,1192.691,
01/19/2006,1165.005,
01/20/2006,1085.346,
01/23/2006,982.189,
01/24/2006,1164.488,
01/25/2006,1297.203,
01/26/2006,1107.978,
01/27/2006,1495.575,
02/01/2006,1569.116,
02/02/2006,1788.001,
02/03/2006,1589.125,
02/06/2006,1716.915,
02/07/2006,1985.809,
02/08/2006,1916.215,
02/09/2006,1754.684,
02/10/2006,1430.547,
02/13/2006,1316.205,
02/14/2006,1581.305,
02/15/2006,1600.004,
02/16/2006,1110.043,
02/17/2006,1171.177,
02/20/2006,994.111,
02/21/2006,1096.567,
02/22/2006,1182.918,
02/23/2006,1001.416,
02/24/2006,1275.784,
02/27/2006,1107.801,
02/28/2006,1222.364,
03/01/2006,1430.392,
03/02/2006,1578.559,
03/03/2006,1101.668,
03/06/2006,1316.814,
03/07/2006,1166.856,
03/08/2006,1127.578,
03/09/2006,844.93,
03/10/2006,841.931,
03/13/2006,1077.866,
03/14/2006,1079.994,
03/15/2006,1227.345,
03/16/2006,1200.069,
03/17/2006,1162.732,
03/20/2006,1258.586,
03/21/2006,2100.906,
03/22/2006,1373.595,
03/23/2006,1163.768,
03/24/2006,1528.923,
03/27/2006,1371.528,
03/28/2006,1551.396,
03/29/2006,1491.68,
03/30/2006,1367.229,
03/31/2006,1498.22,
04/03/2006,1755.398,
04/04/2006,1375.9,
04/05/2006,1648.115,
04/06/2006,1754.823,
04/07/2006,1228.158,
04/10/2006,1029.418,
04/11/2006,1468.039,
04/12/2006,1480.503,
04/13/2006,1730.084,
04/17/2006,1907.523,
04/18/2006,2440.064,
04/19/2006,2792.044,
04/20/2006,1991.86,
04/21/2006,1634.594,
04/24/2006,1445.74,
04/25/2006,1521.212,
04/26/2006,1443.831,
04/27/2006,1560.461,
04/28/2006,1734.126,
05/02/2006,1457.804,
05/03/2006,1568.095,
05/04/2006,1531.569,
05/05/2006,1156.601,
05/08/2006,1192.172,
05/09/2006,1235.295,
05/10/2006,1513.587,
05/11/2006,1586.261,
05/15/2006,1803.694,
05/16/2006,1959.739,
05/17/2006,1198.484,
05/18/2006,1471.677,
05/19/2006,1230.377,
05/22/2006,1856.814,
05/23/2006,1507.541,
05/24/2006,1117.645,
05/25/2006,1249.297,
05/26/2006,1112.356,
05/29/2006,869.499,
05/30/2006,1123.315,
05/31/2006,1214.22,
06/01/2006,889.454,
06/02/2006,976.715,
06/05/2006,616.782,
06/06/2006,834.576,
06/07/2006,856.227,
06/08/2006,1178.715,
06/09/2006,1015.719,
06/12/2006,668.161,
06/13/2006,753.139,
06/14/2006,801.328,
06/15/2006,704.111,
06/16/2006,1122.48,
06/19/2006,754.126,
06/20/2006,631.966,
06/21/2006,780.792,
06/22/2006,958.361,
06/23/2006,811.195,
06/26/2006,882.451,
06/27/2006,789.23,
06/28/2006,827.683,
06/29/2006,846.131,
06/30/2006,1171.949,
07/03/2006,740.816,
07/04/2006,1267.248,
07/05/2006,1215.63,
07/06/2006,1031.158,
07/07/2006,1078.901,
07/10/2006,947.009,
07/11/2006,997.756,
07/12/2006,846.828,
07/13/2006,875.982,
07/14/2006,1011.233,
07/17/2006,913.526,
07/18/2006,760.697,
07/19/2006,712.828,
07/20/2006,1124.632,
07/21/2006,696.861,
07/24/2006,740.355,
07/25/2006,865.936,
07/26/2006,796.353,
07/27/2006,1127.135,
07/28/2006,715.005,
07/31/2006,963.835,
08/01/2006,826.221,
08/02/2006,898.942,
08/03/2006,936.101,
08/04/2006,738.406,
08/07/2006,690.585,
08/08/2006,735.129,
08/10/2006,956.805,
08/11/2006,864.431,
08/14/2006,943.829,
08/15/2006,821.494,
08/16/2006,1213.021,
08/17/2006,1022.926,
08/18/2006,1044.437,
08/21/2006,922.346,
08/22/2006,962.89,
08/23/2006,897.228,
08/24/2006,892.591,
08/25/2006,903.952,
08/28/2006,713.83,
08/29/2006,903.478,
08/30/2006,941.662,
08/31/2006,1115.472,
09/01/2006,903.868,
09/04/2006,882.969,
09/05/2006,785.458,
09/06/2006,853.805,
09/07/2006,832.521,
09/08/2006,753.698,
09/11/2006,816.784,
09/12/2006,891.404,
09/13/2006,1033.183,
09/14/2006,878.543,
09/15/2006,813.934,
09/18/2006,986.899,
09/19/2006,870.995,
09/20/2006,939.072,
09/21/2006,997.862,
09/22/2006,1209.68,
09/25/2006,1108.347,
09/26/2006,1159.842,
09/27/2006,1047.115,
09/28/2006,1124.418,
09/29/2006,1035.512,
10/02/2006,1056.463,
10/03/2006,1207.109,
10/04/2006,1707.896,
10/05/2006,1582.105,
10/06/2006,1438.864,
10/09/2006,1147.177,
10/10/2006,1347.258,
10/11/2006,1303.817,
10/12/2006,1589.961,
10/13/2006,1263.829,
10/16/2006,1101.682,
10/17/2006,1039.115,
10/18/2006,1041.654,
10/19/2006,1059.118,
10/20/2006,1233.461,
10/23/2006,897.99,
10/25/2006,1273.72,
10/26/2006,1533.158,
10/27/2006,1736.166,
10/30/2006,1180.396,
10/31/2006,1181.929,
11/01/2006,1730.324,
11/02/2006,1505.615,
11/03/2006,1769.318,
11/06/2006,1609.445,
11/07/2006,1992.652,
11/08/2006,1502.253,
11/09/2006,1484.016,
11/10/2006,1379.352,
11/13/2006,1068.583,
11/14/2006,1378.919,
11/15/2006,1540.162,
11/16/2006,1543.068,
11/17/2006,1476.486,
11/20/2006,1325.416,
11/21/2006,1292.847,
11/22/2006,1899.478,
11/23/2006,1530.688,
11/24/2006,1550.635,
11/27/2006,1399.188,
11/28/2006,1395.989,
11/29/2006,1207.223,
11/30/2006,1388.061,
12/04/2006,1423.735,
12/05/2006,2276.463,
12/06/2006,1736.38,
12/07/2006,1549.304,
12/08/2006,1754.42,
12/11/2006,1578.539,
12/12/2006,1285.158,
12/13/2006,1547.36,
12/14/2006,1320.075,
12/15/2006,1392.322,
12/18/2006,1192.734,
12/19/2006,1522.248,
12/20/2006,1256.924,
12/21/2006,1589.917,
12/22/2006,1023.918,
12/26/2006,748.517,
12/27/2006,1331.616,
12/28/2006,1695.769,
12/29/2006,1814.307,
01/03/2007,2606.758,
01/04/2007,3346.341,
01/05/2007,2820.215,
01/08/2007,3545.996,
01/09/2007,3101.963,
01/10/2007,2373.781,
01/11/2007,2301.374,
01/12/2007,2652.403,
01/15/2007,3185.861,
01/16/2007,3769.543,
01/17/2007,2872.4,
01/18/2007,2336.295,
01/19/2007,2728.294,
01/22/2007,2905.412,
01/23/2007,2567.616,
01/24/2007,3200.477,
01/25/2007,2872.054,
01/26/2007,2429.711,
01/29/2007,1844.24,
01/30/2007,1806.033,
01/31/2007,2113.068,
02/01/2007,1971.458,
02/02/2007,2482.611,
02/05/2007,2219.221,
02/06/2007,2081.189,
02/07/2007,2148.114,
02/08/2007,2095.736,
02/09/2007,2328.222,
02/12/2007,2190.608,
02/13/2007,1761.674,
02/14/2007,2002.606,
02/15/2007,1988.774,
02/16/2007,1615.181,
02/21/2007,1945.33,
02/22/2007,2074.808,
02/23/2007,2076.907,
02/26/2007,2059.722,
02/27/2007,3094.213,
02/28/2007,3321.543,
03/01/2007,2235.401,
03/02/2007,2116.894,
03/05/2007,2639.948,
03/06/2007,2100.403,
03/07/2007,1975.821,
03/08/2007,1305.738,
03/09/2007,1429.9,
03/12/2007,1412.641,
03/13/2007,1266.375,
03/14/2007,1542.537,
03/15/2007,1214.118,
03/16/2007,1070.064,
03/19/2007,1021.032,
03/20/2007,1457.636,
03/21/2007,1375.517,
03/22/2007,1743.841,
03/23/2007,1300.84,
03/26/2007,1364.421,
03/27/2007,2037.997,
03/28/2007,1993.613,
03/29/2007,1762.529,
03/30/2007,1776.351,
04/02/2007,1657.07,
04/03/2007,2296.765,
04/04/2007,2439.074,
04/05/2007,1906.024,
04/09/2007,2794.148,
04/10/2007,2539.864,
04/11/2007,3047.029,
04/12/2007,2612.933,
04/13/2007,3866.856,
04/16/2007,3789.019,
04/17/2007,3497.787,
04/18/2007,3676.539,
04/19/2007,3798.641,
04/20/2007,4078.32,
04/23/2007,4059.684,
04/24/2007,2625.889,
04/25/2007,2634.007,
04/26/2007,2908.822,
04/27/2007,2505.1,
04/30/2007,2184.178,
05/02/2007,3321.321,
05/03/2007,6024.396,
05/04/2007,3778.778,
05/07/2007,3439.922,
05/08/2007,3413.107,
05/09/2007,2390.298,
05/10/2007,2665.739,
05/11/2007,2572.348,
05/14/2007,2464.91,
05/15/2007,2142.378,
05/16/2007,2272.336,
05/17/2007,2650.7,
05/18/2007,2427.084,
05/21/2007,2180.605,
