,SGX: Turnover: Shares: Total,Foreign Exchange Market: SGD: Total Turnover
Region,Singapore,Singapore
Subnational,,
Frequency,"Daily, ""5 observation""",Monthly
Unit,Share mn,SGD mn
Source,The Business Times,Monetary Authority of Singapore
Status,Active,Active
Series ID,35960701 (SDIGA),471805317 (SZOADDABEAAANS)
SR Code,SR763792,SR154104557
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,08/31/1998,07/01/2021
Last Obs. Date,03/30/2026,02/01/2026
Last Update Time,31/03/2026,31/03/2026
Series Remarks,,
Suggestions,,
06/03/1999,937.486,
06/04/1999,600.688,
06/07/1999,724.759,
06/08/1999,1117.26,
06/09/1999,1384.044,
06/10/1999,1448.449,
06/11/1999,1319.15,
06/14/1999,1369.424,
06/15/1999,2334.201,
06/16/1999,1613.006,
06/17/1999,2102.985,
06/18/1999,2169.021,
06/21/1999,2807.243,
06/22/1999,2472.757,
06/23/1999,2177.599,
06/24/1999,2146.146,
06/25/1999,1787.848,
06/28/1999,2178.085,
06/29/1999,2471.715,
06/30/1999,2193.101,
07/01/1999,1939.055,
07/02/1999,1985.766,
07/05/1999,1606.172,
07/06/1999,1411.681,
07/07/1999,1446.819,
07/08/1999,1090.643,
07/09/1999,1117.619,
07/12/1999,764.116,
07/13/1999,678.223,
07/14/1999,641.096,
07/15/1999,674.811,
07/16/1999,895.991,
07/19/1999,678.663,
07/20/1999,890.974,
07/21/1999,802.866,
07/22/1999,441.324,
07/23/1999,512.756,
07/26/1999,400.205,
07/27/1999,580.593,
07/28/1999,659.436,
07/29/1999,513.783,
07/30/1999,667.05,
08/02/1999,469.541,
08/03/1999,286.342,
08/04/1999,291.479,
08/05/1999,296.022,
08/06/1999,301.584,
08/10/1999,256.174,
08/11/1999,326.373,
08/12/1999,285.535,
08/18/1999,418.589,
08/19/1999,459.37,
08/20/1999,737.684,
08/23/1999,958.798,
08/24/1999,848.212,
08/25/1999,420.24,
08/26/1999,504.786,
08/27/1999,329.456,
08/30/1999,262.228,
08/31/1999,282.831,
09/01/1999,303.005,
09/02/1999,303.188,
09/03/1999,337.485,
09/06/1999,287.508,
09/07/1999,245.331,
09/08/1999,165.883,
09/09/1999,297.06,
09/10/1999,337.269,
09/13/1999,236.738,
09/14/1999,241.1,
09/15/1999,337.734,
09/16/1999,322.76,
09/17/1999,473.281,
09/20/1999,341.699,
09/21/1999,225.843,
09/22/1999,286.567,
09/23/1999,197.797,
09/24/1999,228.372,
09/27/1999,237.096,
09/28/1999,283.787,
09/29/1999,182.132,
09/30/1999,175.693,
10/01/1999,172.404,
10/04/1999,128.931,
10/05/1999,238.42,
10/06/1999,383.002,
10/07/1999,446.757,
10/08/1999,283.246,
10/11/1999,240.713,
10/12/1999,207.184,
10/13/1999,251.277,
10/14/1999,245.942,
10/15/1999,279.418,
10/18/1999,211.244,
10/19/1999,234.903,
10/20/1999,284.373,
10/21/1999,208.018,
10/22/1999,181.408,
10/25/1999,142.932,
10/26/1999,155.754,
10/27/1999,329.277,
10/28/1999,168.858,
10/29/1999,163.466,
11/01/1999,443.226,
11/02/1999,233.396,
11/03/1999,424.038,
11/04/1999,493.367,
11/05/1999,270.6,
11/09/1999,441.727,
11/10/1999,715.394,
11/11/1999,797.578,
11/12/1999,424.039,
11/15/1999,862.803,
11/16/1999,604.775,
11/17/1999,689.543,
11/18/1999,451.871,
11/19/1999,532.806,
11/22/1999,433.863,
11/23/1999,435.146,
11/24/1999,441.225,
11/25/1999,449.977,
11/26/1999,520.286,
11/29/1999,368.148,
11/30/1999,355.862,
12/01/1999,336.199,
12/02/1999,357.925,
12/03/1999,351.456,
12/06/1999,343.839,
12/07/1999,428.184,
12/08/1999,567.291,
12/09/1999,462.827,
12/10/1999,442.627,
12/13/1999,396.956,
12/14/1999,300.535,
12/15/1999,294.35,
12/16/1999,327.774,
12/17/1999,326.29,
12/20/1999,272.488,
12/21/1999,275.072,
12/22/1999,294.524,
12/23/1999,348.537,
12/24/1999,457.184,
12/27/1999,549.989,
12/28/1999,456.059,
12/29/1999,556.066,
12/30/1999,865.272,
01/03/2000,994.103,
01/04/2000,938.756,
01/05/2000,759.473,
01/06/2000,545.733,
01/07/2000,413.395,
01/10/2000,434.104,
01/11/2000,370.646,
01/12/2000,548.531,
01/13/2000,479.195,
01/14/2000,432.419,
01/17/2000,324.546,
01/18/2000,326.709,
01/19/2000,330.46,
01/20/2000,457.23,
01/21/2000,522.512,
01/24/2000,367.854,
01/25/2000,430.767,
01/26/2000,566.556,
01/27/2000,520.178,
01/28/2000,529.823,
01/31/2000,383.07,
02/01/2000,317.327,
02/02/2000,380.379,
02/03/2000,558.835,
02/04/2000,269.339,
02/08/2000,454.433,
02/09/2000,641.236,
02/10/2000,579.48,
02/11/2000,704.663,
02/14/2000,614.422,
02/15/2000,585.978,
02/16/2000,485.895,
02/17/2000,1067.919,
02/18/2000,1035.004,
02/21/2000,606.082,
02/22/2000,554.6,
02/23/2000,541.379,
02/24/2000,477.817,
02/25/2000,567.334,
02/28/2000,632.772,
02/29/2000,701.03,
03/01/2000,516.575,
03/02/2000,469.237,
03/03/2000,561.547,
03/06/2000,433.537,
03/07/2000,381.815,
03/08/2000,547.781,
03/09/2000,408.198,
03/10/2000,472.182,
03/13/2000,365.184,
03/14/2000,305.785,
03/15/2000,247.203,
03/17/2000,313.183,
03/20/2000,244.697,
03/21/2000,414.64,
03/22/2000,402.373,
03/23/2000,306.042,
03/24/2000,348.919,
03/27/2000,501.838,
03/28/2000,466.837,
03/29/2000,291.622,
03/30/2000,353.883,
03/31/2000,263.113,
04/03/2000,288.025,
04/04/2000,264.855,
04/05/2000,305.555,
04/06/2000,415.187,
04/07/2000,407.485,
04/10/2000,206.986,
04/11/2000,180.937,
04/12/2000,379.285,
04/13/2000,286.76,
04/14/2000,395.837,
04/17/2000,439.912,
04/18/2000,321.94,
04/19/2000,289.443,
04/20/2000,201.773,
04/24/2000,161.183,
04/25/2000,218.7,
04/26/2000,291.188,
04/27/2000,317.099,
04/28/2000,333.478,
05/02/2000,402.921,
05/03/2000,440.391,
05/04/2000,330.027,
05/05/2000,707.86,
05/08/2000,388.665,
05/09/2000,399.135,
05/10/2000,480.53,
05/11/2000,533.389,
05/12/2000,383.265,
05/15/2000,251.335,
05/16/2000,323.151,
05/17/2000,441.137,
05/19/2000,382.846,
05/22/2000,251.583,
05/23/2000,288.649,
05/24/2000,338.205,
05/25/2000,386.407,
05/26/2000,320.199,
05/29/2000,248.301,
05/30/2000,232.228,
05/31/2000,359.227,
06/01/2000,246.068,
06/02/2000,431.846,
06/05/2000,513.767,
06/06/2000,449.845,
06/07/2000,549.446,
06/08/2000,426.143,
06/09/2000,349.149,
06/12/2000,223.344,
06/13/2000,297.29,
06/14/2000,427.326,
06/15/2000,406.091,
06/16/2000,254.036,
06/19/2000,293.02,
06/20/2000,329.653,
06/21/2000,288.78,
06/22/2000,323.987,
06/23/2000,290.715,
06/26/2000,329.586,
06/27/2000,346.117,
06/28/2000,450.589,
06/29/2000,361.178,
06/30/2000,521.336,
07/03/2000,693.661,
07/04/2000,489.65,
07/05/2000,645.991,
07/06/2000,357.101,
07/07/2000,617.145,
07/10/2000,822.334,
07/11/2000,629.678,
07/12/2000,737.226,
07/13/2000,792.945,
07/14/2000,661.934,
07/17/2000,489.126,
07/18/2000,542.828,
07/19/2000,601.581,
07/20/2000,539.29,
07/21/2000,48.145,
07/24/2000,409.814,
07/25/2000,525.328,
07/26/2000,642.234,
07/27/2000,386.379,
07/28/2000,339.452,
07/31/2000,324.594,
08/01/2000,374.355,
08/02/2000,449.191,
08/03/2000,448.169,
08/04/2000,463.399,
08/07/2000,327.008,
08/08/2000,399.509,
08/10/2000,348.045,
08/11/2000,478.628,
08/14/2000,456.782,
08/15/2000,429.445,
08/16/2000,478.929,
08/17/2000,530.667,
08/21/2000,293.679,
08/22/2000,342.741,
08/23/2000,366.349,
08/24/2000,279.389,
08/25/2000,251.287,
08/28/2000,222.299,
08/29/2000,203.544,
08/30/2000,230.584,
08/31/2000,207.494,
09/01/2000,233.031,
09/04/2000,260.983,
09/05/2000,246.77,
09/06/2000,273.026,
09/07/2000,247.77,
09/08/2000,224.148,
09/11/2000,199.32,
09/12/2000,221.728,
09/13/2000,202.575,
09/14/2000,209.03,
09/15/2000,285.745,
09/18/2000,207.371,
09/19/2000,239.604,
09/20/2000,174.33,
09/21/2000,184.173,
09/22/2000,277.774,
09/25/2000,185.687,
09/26/2000,180.985,
09/27/2000,178.165,
09/28/2000,211.667,
09/29/2000,251.011,
10/02/2000,139.36,
10/03/2000,196.68,
10/04/2000,199.168,
10/05/2000,222.908,
10/06/2000,190.544,
10/09/2000,298.591,
10/10/2000,201.601,
10/11/2000,254.75,
10/12/2000,248.236,
10/13/2000,235.122,
10/16/2000,219.948,
10/17/2000,215.674,
10/18/2000,223.723,
10/19/2000,304.61,
10/20/2000,493.369,
10/23/2000,284.42,
10/24/2000,232.496,
10/25/2000,231.803,
10/27/2000,302.922,
10/30/2000,342.635,
10/31/2000,397.754,
11/01/2000,831.053,
11/02/2000,495.029,
11/03/2000,670.641,
11/06/2000,503.235,
11/07/2000,401.76,
11/08/2000,467.967,
11/09/2000,471.299,
11/10/2000,397.022,
11/13/2000,303.831,
11/14/2000,462.488,
11/15/2000,427.303,
11/16/2000,341.873,
11/17/2000,282.261,
11/20/2000,256.095,
11/21/2000,308.315,
11/22/2000,331.743,
11/23/2000,456.163,
11/24/2000,278.835,
11/27/2000,232.909,
11/28/2000,265.637,
11/29/2000,251.773,
11/30/2000,306.402,
12/01/2000,362.213,
12/04/2000,212.318,
12/05/2000,226.769,
12/06/2000,445.6,
12/07/2000,197.188,
12/08/2000,225.349,
12/11/2000,320.491,
12/12/2000,344.175,
12/13/2000,395.363,
12/14/2000,394.582,
12/15/2000,273.704,
12/18/2000,271.671,
12/19/2000,274.153,
12/20/2000,315.02,
12/21/2000,317.996,
12/22/2000,257.264,
12/26/2000,0,
12/28/2000,198.113,
12/29/2000,192.365,
01/02/2001,158.499,
01/03/2001,262.514,
01/04/2001,450.225,
01/05/2001,309.748,
01/08/2001,192.037,
01/09/2001,230.006,
01/10/2001,279.53,
01/11/2001,222.119,
01/12/2001,215.095,
01/15/2001,218.294,
01/16/2001,236.809,
01/17/2001,230.659,
01/18/2001,375.685,
01/19/2001,551.488,
01/22/2001,334.629,
01/23/2001,177.852,
01/26/2001,210.354,
01/29/2001,250.248,
01/30/2001,299.396,
01/31/2001,456.323,
02/01/2001,512.839,
02/02/2001,765.185,
02/05/2001,798.2,
02/06/2001,834.148,
02/07/2001,392.601,
02/08/2001,474.09,
02/09/2001,454.55,
02/12/2001,357.074,
02/13/2001,414.552,
02/14/2001,343.844,
02/15/2001,373.057,
02/16/2001,329.829,
02/19/2001,257.521,
02/20/2001,411.463,
02/21/2001,327.063,
02/22/2001,278.965,
02/23/2001,294.967,
02/26/2001,210.75,
02/27/2001,313.219,
02/28/2001,413.117,
03/01/2001,257.18,
03/02/2001,262.085,
03/05/2001,220.429,
03/07/2001,234.326,
03/08/2001,267.602,
03/09/2001,246.094,
03/12/2001,204.729,
03/13/2001,305.566,
03/14/2001,297.218,
03/15/2001,374.273,
03/16/2001,355.892,
03/19/2001,274.715,
03/20/2001,259.079,
03/21/2001,370.928,
03/22/2001,329.245,
03/23/2001,369.043,
03/26/2001,390.692,
03/27/2001,380.466,
03/28/2001,369.642,
03/29/2001,350.542,
03/30/2001,332.387,
04/02/2001,215.657,
04/03/2001,318.275,
04/04/2001,271.042,
04/05/2001,355.655,
04/06/2001,428.557,
04/09/2001,190.265,
04/10/2001,214.131,
04/11/2001,276.372,
04/12/2001,296.212,
04/16/2001,154.289,
04/17/2001,183.289,
04/18/2001,289.535,
04/19/2001,577.777,
04/20/2001,295.253,
04/23/2001,295.489,
04/24/2001,456.881,
04/25/2001,615.72,
04/26/2001,440.342,
04/27/2001,250.646,
04/30/2001,412.498,
05/02/2001,712.18,
05/03/2001,540.186,
05/04/2001,364.109,
05/08/2001,341.61,
05/09/2001,343.048,
05/10/2001,453.511,
05/11/2001,438.917,
05/14/2001,297.184,
05/15/2001,256.662,
05/16/2001,276.141,
05/17/2001,402.55,
05/18/2001,360.108,
05/21/2001,295.762,
05/22/2001,510.922,
05/23/2001,619.154,
05/24/2001,612.447,
05/25/2001,814.928,
05/28/2001,444.09,
05/29/2001,442.008,
05/30/2001,421.875,
05/31/2001,423.787,
06/01/2001,407.621,
06/04/2001,735.667,
06/05/2001,886.02,
06/06/2001,638.884,
06/07/2001,497.443,
06/08/2001,563.354,
06/11/2001,303.276,
06/12/2001,344.443,
06/13/2001,535.743,
06/14/2001,584.769,
06/15/2001,666.703,
06/18/2001,435.563,
06/19/2001,485.785,
06/20/2001,469.727,
06/21/2001,640.524,
06/22/2001,545.254,
06/25/2001,575.636,
06/26/2001,556.148,
06/27/2001,495.487,
06/28/2001,631.881,
06/29/2001,491.366,
07/02/2001,395.804,
07/03/2001,404.865,
07/04/2001,466.651,
07/05/2001,370.365,
07/06/2001,347.704,
07/09/2001,303.809,
07/10/2001,357.089,
07/11/2001,336.374,
07/12/2001,477.796,
07/13/2001,503.443,
07/16/2001,380.301,
07/17/2001,267.642,
07/18/2001,290.822,
07/19/2001,330.326,
07/20/2001,249.26,
07/23/2001,202.188,
07/24/2001,278.519,
07/25/2001,278.269,
07/26/2001,295.72,
07/27/2001,281.39,
07/30/2001,263.571,
07/31/2001,385.482,
08/01/2001,517.57,
08/02/2001,630.047,
08/03/2001,337.212,
08/06/2001,220.405,
08/07/2001,227.364,
08/08/2001,325.941,
08/10/2001,224.11,
08/13/2001,210.567,
08/14/2001,299.303,
08/15/2001,257.918,
08/16/2001,244.799,
08/17/2001,198.447,
08/20/2001,187.426,
08/21/2001,198.695,
08/22/2001,208.496,
08/23/2001,200.299,
08/24/2001,283.663,
08/27/2001,208.322,
08/28/2001,189.811,
08/29/2001,199.91,
08/30/2001,246.97,
08/31/2001,299.588,
09/03/2001,204.306,
09/04/2001,301.784,
09/05/2001,203.82,
09/06/2001,239.103,
09/07/2001,535.729,
09/10/2001,236.441,
09/11/2001,322.023,
09/12/2001,511.366,
09/13/2001,256.768,
09/14/2001,384.33,
09/17/2001,364.027,
09/18/2001,394.005,
09/19/2001,345.919,
09/20/2001,251.33,
09/21/2001,351.867,
09/24/2001,399.56,
09/25/2001,2009.537,
09/26/2001,226.755,
09/27/2001,432.252,
09/28/2001,360.758,
10/01/2001,202.035,
10/02/2001,157.71,
10/03/2001,210.774,
10/04/2001,352.974,
10/08/2001,211.738,
10/09/2001,243.252,
10/10/2001,219.059,
10/11/2001,384.408,
10/12/2001,474.476,
10/15/2001,146.746,
10/16/2001,182.186,
10/17/2001,569.128,
10/18/2001,516.746,
10/19/2001,269.556,
10/22/2001,211.169,
10/23/2001,425.03,
10/24/2001,386.649,
10/25/2001,293.971,
10/26/2001,350.91,
10/29/2001,188.026,
10/30/2001,202.802,
10/31/2001,199.858,
11/01/2001,321.132,
11/02/2001,297.608,
11/05/2001,242.972,
11/06/2001,291.847,
11/07/2001,213.593,
11/08/2001,227.172,
11/09/2001,302.803,
11/12/2001,485.199,
11/13/2001,220.748,
11/15/2001,634.556,
11/16/2001,453.725,
11/19/2001,725.118,
11/20/2001,712.471,
11/21/2001,369.703,
11/22/2001,289.58,
11/23/2001,296.837,
11/26/2001,434.467,
11/27/2001,430.585,
11/28/2001,266.453,
11/29/2001,320.819,
11/30/2001,417.537,
12/03/2001,259.46,
12/04/2001,466.912,
12/05/2001,948.207,
12/06/2001,829.196,
12/07/2001,342.511,
12/10/2001,322.488,
12/11/2001,346.33,
12/12/2001,428.478,
12/13/2001,343.772,
12/14/2001,331.621,
12/18/2001,410.488,
12/19/2001,245.108,
12/20/2001,355.764,
12/21/2001,246.106,
12/24/2001,81.244,
12/26/2001,125.388,
12/27/2001,286.403,
12/28/2001,300.403,
12/31/2001,163.384,
01/02/2002,506.522,
01/03/2002,802.768,
01/04/2002,850.955,
01/07/2002,1126.548,
01/08/2002,896.571,
01/09/2002,639.533,
01/10/2002,827.766,
01/11/2002,841.375,
01/14/2002,680.501,
01/15/2002,724.355,
01/16/2002,761.542,
01/17/2002,681.257,
01/18/2002,530.757,
01/21/2002,410.275,
01/22/2002,476.751,
01/23/2002,554.308,
01/24/2002,609.982,
01/25/2002,850.781,
01/28/2002,794.697,
01/29/2002,895.767,
01/30/2002,608.461,
01/31/2002,966.414,
02/01/2002,812.102,
02/04/2002,468.828,
02/05/2002,517.421,
02/06/2002,488.439,
02/07/2002,493.768,
02/08/2002,411.527,
02/14/2002,459.237,
02/15/2002,1018.405,
02/18/2002,333.189,
02/19/2002,558.807,
02/20/2002,522.631,
02/21/2002,442.334,
02/22/2002,430.905,
02/25/2002,370.383,
02/26/2002,339.174,
02/27/2002,414.276,
02/28/2002,354.105,
03/01/2002,427.617,
03/04/2002,794.116,
03/05/2002,842.303,
03/06/2002,695.879,
03/07/2002,695.661,
03/08/2002,652.999,
03/11/2002,674.741,
03/12/2002,503.779,
03/14/2002,513.018,
03/15/2002,433.127,
03/18/2002,575.58,
03/19/2002,803.876,
03/20/2002,649.217,
03/21/2002,695.025,
03/22/2002,576.944,
03/25/2002,485.182,
03/26/2002,591.149,
03/27/2002,699.492,
03/28/2002,632.318,
04/01/2002,492.759,
04/02/2002,400.659,
04/03/2002,538.753,
04/04/2002,531.173,
04/05/2002,536.07,
04/08/2002,487.867,
04/09/2002,471.026,
04/10/2002,482.146,
04/11/2002,509.358,
04/12/2002,533.03,
04/15/2002,441.015,
04/16/2002,769.612,
04/17/2002,772.336,
04/18/2002,625.614,
04/19/2002,591.101,
04/22/2002,466.069,
04/23/2002,452.413,
04/24/2002,544.129,
04/25/2002,556.324,
04/26/2002,383.956,
04/29/2002,329.677,
04/30/2002,497.484,
05/02/2002,877.796,
05/03/2002,650.447,
05/06/2002,422.483,
05/07/2002,563.008,
05/08/2002,566.111,
05/09/2002,564.862,
05/10/2002,436.865,
05/13/2002,361.546,
05/14/2002,435.488,
05/15/2002,546.848,
05/16/2002,453.938,
05/17/2002,456.262,
05/20/2002,401.88,
05/21/2002,525.652,
05/22/2002,568.503,
05/23/2002,493.167,
05/24/2002,430.035,
05/28/2002,313.491,
05/29/2002,360.986,
05/30/2002,399.567,
05/31/2002,463.412,
06/03/2002,275.526,
06/04/2002,335.519,
06/05/2002,282.484,
06/06/2002,289.898,
06/07/2002,285.744,
06/10/2002,216.635,
06/11/2002,248.274,
06/12/2002,209.198,
06/13/2002,271.454,
06/14/2002,234.159,
06/17/2002,217.723,
06/18/2002,211.07,
06/19/2002,294.001,
06/20/2002,247.965,
06/21/2002,204.133,
06/24/2002,234.4,
06/25/2002,440.82,
06/26/2002,430.809,
06/27/2002,427.803,
06/28/2002,441.547,
07/01/2002,208.591,
07/02/2002,246.83,
07/03/2002,402.71,
07/04/2002,446.626,
07/05/2002,610.396,
07/08/2002,526.099,
07/09/2002,480.276,
07/10/2002,501.557,
07/11/2002,457.273,
07/12/2002,511.921,
07/15/2002,431.172,
07/16/2002,423.118,
07/17/2002,499.572,
07/18/2002,454.26,
07/19/2002,357.783,
07/22/2002,464.522,
07/23/2002,426.369,
07/24/2002,407.068,
07/25/2002,511.006,
07/26/2002,485.68,
07/29/2002,352.537,
07/30/2002,393.209,
07/31/2002,527.403,
08/01/2002,492.275,
08/02/2002,438.914,
08/05/2002,371.171,
08/06/2002,493.346,
08/07/2002,472.77,
08/08/2002,299.062,
08/12/2002,359.614,
08/13/2002,375.636,
08/14/2002,422.86,
08/15/2002,525.324,
08/16/2002,282.644,
08/19/2002,341.74,
08/20/2002,593.781,
08/21/2002,488.748,
08/22/2002,460.046,
08/23/2002,335.84,
08/26/2002,331.508,
08/27/2002,375.836,
08/28/2002,312.974,
08/29/2002,355.37,
08/30/2002,354.549,
09/02/2002,349.096,
09/03/2002,393.036,
09/04/2002,345.842,
09/05/2002,327.813,
09/06/2002,368.578,
09/09/2002,270.043,
09/10/2002,354.573,
09/11/2002,313.687,
09/12/2002,261.257,
09/13/2002,268.753,
09/16/2002,255.879,
09/17/2002,432.578,
09/18/2002,281.476,
09/19/2002,269.287,
09/20/2002,349.554,
09/23/2002,372.052,
09/24/2002,357.322,
09/25/2002,406.062,
09/26/2002,370.02,
09/27/2002,267.798,
09/30/2002,257.584,
10/01/2002,228.381,
10/02/2002,293.38,
